V,E,time
0,1,1.9073486328125e-06
1,0,5.245208740234375e-06
2,1,4.76837158203125e-06
3,4,5.9604644775390625e-06
4,9,8.344650268554688e-06
5,16,1.0967254638671875e-05
6,25,1.4066696166992188e-05
7,36,1.811981201171875e-05
8,49,1.8835067749023438e-05
9,64,2.5272369384765625e-05
10,81,3.0279159545898438e-05
11,100,4.1961669921875e-05
12,121,3.981590270996094e-05
13,144,4.696846008300781e-05
14,169,5.1975250244140625e-05
15,196,6.079673767089844e-05
16,225,0.00011110305786132812
17,256,7.891654968261719e-05
18,289,9.012222290039062e-05
19,324,8.916854858398438e-05
20,361,0.00011324882507324219
21,400,0.00011277198791503906
22,441,0.00013017654418945312
23,484,0.00013208389282226562
24,529,0.00015687942504882812
25,576,0.0001499652862548828
26,625,0.00019502639770507812
27,676,0.00019097328186035156
28,729,0.00021505355834960938
29,784,0.00024390220642089844
30,841,0.00021195411682128906
31,900,0.0002281665802001953
32,961,0.0002319812774658203
33,1024,0.00025391578674316406
34,1089,0.0002620220184326172
35,1156,0.0002849102020263672
36,1225,0.0003001689910888672
37,1296,0.00033593177795410156
38,1369,0.0003147125244140625
39,1444,0.00032210350036621094
40,1521,0.00033926963806152344
41,1600,0.0003490447998046875
42,1681,0.00045800209045410156
43,1764,0.0004317760467529297
44,1849,0.0003790855407714844
45,1936,0.00045299530029296875
46,2025,0.00042819976806640625
47,2116,0.00037479400634765625
48,2209,0.00045490264892578125
49,2304,0.0004820823669433594
50,2401,0.0004889965057373047
51,2500,0.0005037784576416016
52,2601,0.0005240440368652344
53,2704,0.0005638599395751953
54,2809,0.0006389617919921875
55,2916,0.0005860328674316406
56,3025,0.0005869865417480469
57,3136,0.0006730556488037109
58,3249,0.0006251335144042969
59,3364,0.0007190704345703125
60,3481,0.000644683837890625
61,3600,0.0007102489471435547
62,3721,0.0007112026214599609
63,3844,0.0007200241088867188
64,3969,0.00074005126953125
65,4096,0.0007960796356201172
66,4225,0.0008039474487304688
67,4356,0.0008668899536132812
68,4489,0.0008630752563476562
69,4624,0.0010290145874023438
70,4761,0.0008561611175537109
71,4900,0.0009882450103759766
72,5041,0.001293182373046875
73,5184,0.0009920597076416016
74,5329,0.0010190010070800781
75,5476,0.0011680126190185547
76,5625,0.0009808540344238281
77,5776,0.0018792152404785156
78,5929,0.0012409687042236328
79,6084,0.0010981559753417969
80,6241,0.0011742115020751953
81,6400,0.0012590885162353516
82,6561,0.0011510848999023438
83,6724,0.0010819435119628906
84,6889,0.001325845718383789
85,7056,0.001374959945678711
86,7225,0.0012509822845458984
87,7396,0.0014591217041015625
88,7569,0.0015938282012939453
89,7744,0.0015468597412109375
90,7921,0.0015742778778076172
91,8100,0.0015559196472167969
92,8281,0.0015869140625
93,8464,0.0016551017761230469
94,8649,0.0017380714416503906
95,8836,0.0017871856689453125
96,9025,0.001950979232788086
97,9216,0.001569986343383789
98,9409,0.0021009445190429688
99,9604,0.0018761157989501953
100,9801,0.0023276805877685547
