V,E,time
0,1,3.0994415283203125e-06
50,2401,0.0002338886260986328
100,9801,0.0006909370422363281
150,22201,0.001300811767578125
200,39601,0.0020351409912109375
250,62001,0.0031280517578125
300,89401,0.004346132278442383
350,121801,0.005744218826293945
400,159201,0.008426904678344727
450,201601,0.009848833084106445
500,249001,0.013788938522338867
550,301401,0.015028953552246094
600,358801,0.016615867614746094
650,421201,0.019588708877563477
700,488601,0.02288985252380371
750,561001,0.02756786346435547
800,638401,0.030066967010498047
850,720801,0.038424015045166016
900,808201,0.040280818939208984
950,900601,0.04175066947937012
1000,998001,0.04729294776916504
