V,E,time
1000,500000,0.02609395980834961
1500,500000,0.02469182014465332
1500,1000000,0.048297882080078125
1500,1500000,0.07333612442016602
1500,2000000,0.09905362129211426
2000,500000,0.026567935943603516
2000,1000000,0.048635005950927734
2000,1500000,0.06998300552368164
2000,2000000,0.09915280342102051
2000,2500000,0.1192629337310791
2000,3000000,0.14467883110046387
2000,3500000,0.1665358543395996
2500,500000,0.027251243591308594
2500,1000000,0.04899096488952637
2500,1500000,0.07124686241149902
2500,2000000,0.09507393836975098
2500,2500000,0.12299871444702148
2500,3000000,0.14588499069213867
2500,3500000,0.16744089126586914
2500,4000000,0.19706106185913086
2500,4500000,0.22220516204833984
2500,5000000,0.24020624160766602
2500,5500000,0.26903390884399414
2500,6000000,0.2920560836791992
3000,500000,0.02737283706665039
3000,1000000,0.05145525932312012
3000,1500000,0.07398605346679688
3000,2000000,0.0961756706237793
3000,2500000,0.12028121948242188
3000,3000000,0.14188790321350098
3000,3500000,0.1719980239868164
3000,4000000,0.19303297996520996
3000,4500000,0.22028303146362305
3000,5000000,0.24477171897888184
3000,5500000,0.2723839282989502
3000,6000000,0.2921290397644043
3000,6500000,0.3158457279205322
3000,7000000,0.34087181091308594
3000,7500000,0.3647041320800781
3000,8000000,0.38965296745300293
3000,8500000,0.3968319892883301
3500,500000,0.028380870819091797
3500,1000000,0.050801992416381836
3500,1500000,0.07445192337036133
3500,2000000,0.09790277481079102
3500,2500000,0.11943984031677246
3500,3000000,0.14179682731628418
3500,3500000,0.16580605506896973
3500,4000000,0.18840885162353516
3500,4500000,0.22498106956481934
3500,5000000,0.24166607856750488
3500,5500000,0.26636385917663574
3500,6000000,0.3030240535736084
3500,6500000,0.3144102096557617
3500,7000000,0.3401529788970947
3500,7500000,0.36461782455444336
3500,8000000,0.3879091739654541
3500,8500000,0.4060170650482178
3500,9000000,0.432204008102417
3500,9500000,0.4610869884490967
4000,500000,0.02923583984375
4000,1000000,0.05324506759643555
4000,1500000,0.07602930068969727
4000,2000000,0.09889602661132812
4000,2500000,0.1225731372833252
4000,3000000,0.14391708374023438
4000,3500000,0.17574405670166016
4000,4000000,0.19963598251342773
4000,4500000,0.2171800136566162
4000,5000000,0.23542404174804688
4000,5500000,0.2650763988494873
4000,6000000,0.2839498519897461
4000,6500000,0.3070211410522461
4000,7000000,0.34365081787109375
4000,7500000,0.35258913040161133
4000,8000000,0.3910398483276367
4000,8500000,0.41422080993652344
4000,9000000,0.4360029697418213
4000,9500000,0.45911431312561035
4500,500000,0.031350135803222656
4500,1000000,0.05473613739013672
4500,1500000,0.07721900939941406
4500,2000000,0.09936213493347168
4500,2500000,0.12636804580688477
4500,3000000,0.1444547176361084
4500,3500000,0.16688776016235352
4500,4000000,0.19131898880004883
4500,4500000,0.21828126907348633
4500,5000000,0.24881410598754883
4500,5500000,0.27303338050842285
4500,6000000,0.29665493965148926
4500,6500000,0.3186807632446289
4500,7000000,0.3482060432434082
4500,7500000,0.35098910331726074
4500,8000000,0.3934769630432129
4500,8500000,0.4172790050506592
4500,9000000,0.4430668354034424
4500,9500000,0.4525580406188965
5000,500000,0.032385826110839844
5000,1000000,0.056868791580200195
5000,1500000,0.07960200309753418
5000,2000000,0.09962892532348633
5000,2500000,0.12312602996826172
5000,3000000,0.1451430320739746
