V,E,time
0,0,1.9073486328125e-06
50,50,2.193450927734375e-05
100,100,4.38690185546875e-05
150,150,5.817413330078125e-05
200,200,7.987022399902344e-05
250,250,9.202957153320312e-05
300,300,0.00014591217041015625
350,350,0.0001201629638671875
400,400,0.00015163421630859375
450,450,0.0001652240753173828
500,500,0.00018215179443359375
550,550,0.0002009868621826172
600,600,0.00020885467529296875
650,650,0.00023412704467773438
700,700,0.0002338886260986328
750,750,0.0002491474151611328
800,800,0.00031375885009765625
850,850,0.000286102294921875
900,900,0.00030422210693359375
950,950,0.0003731250762939453
1000,1000,0.0003330707550048828
